@relation dataset-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L1-3-V-H

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute rawx numeric
@attribute rawy numeric
@attribute rawz numeric
@attribute accx numeric
@attribute accy numeric
@attribute accz numeric
@attribute rot1 numeric
@attribute rot2 numeric
@attribute rot3 numeric
@attribute rot4 numeric
@attribute azimuth numeric
@attribute pitch numeric
@attribute roll numeric
@attribute OnOff {0,1,2}
@attribute CutoffFreq numeric
@attribute Gain numeric
@attribute Q numeric
@attribute Vol numeric

@data
396,'2020/07/02 18:39:44:108',26,9.675766,0.0439,1.19072,0.000081,-0.004787,0.029611,0.664051,0.00205,0.747682,0.001818,179.641144,0.318911,83.254051,?,?,97,?,?
397,'2020/07/02 18:39:57:056',27,7.594406,0.052673,6.335052,-0.001178,-0.003285,0.013239,0.42264,-0.024003,0.904171,0.057216,172.505966,0.284038,50.08823,?,?,47,?,?
398,'2020/07/02 18:39:57:156',27,7.572861,0.050278,6.344635,-0.001593,-0.001068,-0.009855,0.422843,-0.024015,0.90407,0.057316,172.505966,0.284038,50.08823,?,?,47,?,?
399,'2020/07/02 18:39:57:368',27,7.577652,0.055069,6.349426,-0.001593,-0.001068,-0.009855,0.422291,-0.023536,0.904392,0.056496,175.98436,0.294683,50.040829,?,?,47,?,?
400,'2020/07/02 18:39:57:369',27,7.572861,0.047882,6.356598,0.005429,0.003387,-0.001411,0.42204,-0.022715,0.904627,0.054913,175.98436,0.294683,50.040829,?,?,47,?,?
401,'2020/07/02 18:39:57:575',27,7.565674,0.052673,6.342239,0.005429,0.003387,-0.001411,0.422249,-0.022409,0.904587,0.054087,174.116882,0.294252,50.02779,?,?,47,?,?
402,'2020/07/02 18:39:57:579',27,7.563278,0.038315,6.38533,0.006604,-0.003037,-0.009574,0.421405,-0.022712,0.904951,0.054452,174.116882,0.294252,50.02779,?,?,47,?,?
403,'2020/07/02 18:39:57:665',27,7.553711,0.062256,6.358994,0.006604,-0.003037,-0.009574,0.421517,-0.022818,0.904864,0.05499,172.694016,0.290139,49.938202,?,?,47,?,?
404,'2020/07/02 18:39:57:796',27,7.565674,0.040695,6.380554,-0.001327,0.000477,-0.002809,0.421143,-0.022104,0.905158,0.053284,172.694016,0.290139,49.938202,?,?,47,?,?
405,'2020/07/02 18:39:57:861',27,7.565674,0.052673,6.356598,-0.001327,0.000477,-0.002809,0.421222,-0.021997,0.905129,0.053194,174.757111,0.286052,49.895432,?,?,47,?,?
406,'2020/07/02 18:39:58:026',27,7.558502,0.047882,6.356598,-0.003889,0.000216,0.00542,0.421537,-0.021162,0.905104,0.051434,174.757111,0.286052,49.895432,?,?,47,?,?
407,'2020/07/02 18:39:58:062',27,7.558502,0.050278,6.347031,-0.003889,0.000216,0.00542,0.421508,-0.021096,0.905132,0.051203,174.355087,0.285064,49.92577,?,?,47,?,?
430,'2020/07/02 18:45:34:517',31,0.016754,0.126892,10.122681,-0.002631,0.001558,0.000983,0.005489,0.002786,0.576394,0.817149,68.902184,0.685855,0.092726,?,?,?,0,?
431,'2020/07/02 18:45:34:617',31,0.023941,0.114929,10.113113,-0.002631,0.001558,0.000983,0.005444,0.002736,0.576463,0.8171,67.171181,0.69443,0.104566,?,?,?,0,?
432,'2020/07/02 18:45:34:715',31,0.007187,0.126892,10.117889,0.002451,0.002621,-0.000304,0.005492,0.002643,0.576513,0.817065,67.171181,0.69443,0.104566,?,?,?,0,?
433,'2020/07/02 18:45:34:813',31,0.016754,0.119705,10.122681,0.002451,0.002621,-0.000304,0.005428,0.00266,0.576537,0.817049,69.301636,0.683944,0.109573,?,?,?,0,?
434,'2020/07/02 18:45:34:918',31,0.021545,0.129288,10.115509,0.002639,-0.000229,-0.001169,0.005426,0.00269,0.576513,0.817066,69.301636,0.683944,0.109573,?,?,?,0,?
435,'2020/07/02 18:45:35:015',31,0.021545,0.11731,10.113113,0.002639,-0.000229,-0.001169,0.005472,0.002703,0.576474,0.817092,68.776154,0.690915,0.108428,?,?,?,0,?
436,'2020/07/02 18:45:35:118',31,0.01915,0.126892,10.110718,-0.003009,0.002711,0.000813,0.005494,0.002702,0.576462,0.817101,68.776154,0.690915,0.108428,?,?,?,0,?
437,'2020/07/02 18:45:35:217',31,0.01915,0.112534,10.125076,-0.003009,0.002711,0.000813,0.00542,0.002629,0.576567,0.817028,68.066254,0.685745,0.112415,?,?,?,0,?
438,'2020/07/02 18:45:35:321',31,0.023941,0.124496,10.113113,0.001531,0.000172,-0.003289,0.005445,0.002664,0.576523,0.817059,68.066254,0.685745,0.112415,?,?,?,0,?
439,'2020/07/02 18:45:35:430',31,0.023941,0.122101,10.115509,0.001531,0.000172,-0.003289,0.005426,0.002657,0.576541,0.817046,69.264809,0.681554,0.109014,?,?,?,0,?
